query	novelty
tree_202_k10_s4_exp	15.385035519645076
tree_203_k5_s5_exp	20.679134575963108
tree_5_k10_s5_uniform	14.732581391902261
tree_203_k5_s1_exp	13.002605000421447
tree_202_k3_s3_exp	13.948280440662078
tree_1_k3_s4_exp	0.07124722206787042
tree_3_k3_s1_uniform	0.44291111522650156
tree_11_k10_s5_exp	15.453449279734375
tree_203_k10_s1_uniform	17.64584665690936
tree_13_k5_s4_exp	23.73414987464156
tree_17_k10_s2_uniform	18.37307501657204
tree_1322_k5_s3_exp	14.302257846843247
tree_6_k5_s1_exp	14.57999734539306
tree_4_k10_s5_uniform	17.701504656788885
tree_7_k3_s3_exp	7.058059007666127
tree_1_k5_s1_uniform	4.25137275622543
tree_2_k10_s5_exp	0.531389229989982
tree_14_k3_s1_exp	18.46110649927867
tree_217_k5_s1_exp	18.962933998128747
tree_15_k5_s3_exp	17.489022488573156
tree_15_k5_s2_exp	21.43338731195645
tree_2_k10_s4_exp	0.1936134419548809
tree_16_k10_s3_uniform	14.66771254737126
tree_7_k3_s1_uniform	10.243405295605871
tree_13_k10_s1_uniform	25.43089876213762
tree_7_k3_s2_exp	12.803646046324868
tree_14_k10_s1_exp	17.002187625122875
tree_1068_k3_s4_uniform	11.074283991824787
tree_217_k3_s1_uniform	17.504716320745377
tree_202_k5_s1_uniform	15.789522806461477
tree_7_k10_s1_exp	12.486103233607517
tree_1322_k5_s2_exp	9.08534883406898
tree_13_k5_s5_exp	21.934598363335034
tree_5_k10_s4_uniform	12.25912715798224
tree_202_k10_s1_exp	15.622914662037768
tree_11_k10_s4_exp	15.422897726528575
tree_1_k3_s5_exp	0.1610553220464075
tree_5_k5_s1_uniform	14.764548255184675
tree_202_k3_s2_exp	4.609634686515198
tree_203_k5_s2_exp	15.013584627282093
tree_15_k5_s3_uniform	15.802549747715814
tree_10_k10_s2_uniform	16.717900288340754
tree_16_k5_s2_uniform	11.521340528489372
tree_202_k10_s3_exp	16.07156296027491
tree_12_k3_s5_exp	24.682344771435776
tree_7_k10_s3_exp	12.013253267949002
tree_3_k5_s5_uniform	0.28457584232171607
tree_14_k10_s3_exp	11.67387293698829
tree_17_k3_s3_uniform	23.369835699501742
tree_6_k5_s2_exp	16.893182820254786
tree_14_k3_s2_uniform	10.562954075408086
tree_2_k3_s4_uniform	0.14936441858633448
tree_14_k3_s2_exp	10.654567846987076
tree_3_k10_s5_uniform	0.35206859580004035
tree_1_k3_s5_uniform	0.14824579850870112
tree_217_k5_s2_exp	21.43338731195645
tree_217_k5_s3_exp	17.489022488573156
tree_7_k5_s5_uniform	14.105003166355408
tree_15_k5_s1_exp	18.962933998128747
tree_14_k3_s3_exp	13.311961104175625
tree_14_k10_s1_uniform	16.671870193599997
tree_4_k5_s4_uniform	12.15790105337847
tree_217_k5_s5_uniform	16.153959541579297
tree_11_k10_s3_uniform	14.911067254249884
tree_8_k5_s2_uniform	3.514564917128923
tree_12_k5_s2_uniform	13.436849981924327
tree_7_k3_s1_exp	10.15270497578138
tree_6_k5_s3_exp	20.484602728697567
tree_203_k5_s4_uniform	14.260784413537948
tree_11_k5_s3_uniform	15.049803586140225
tree_14_k10_s2_exp	13.694060685691412
tree_7_k10_s2_exp	15.162923603037992
tree_5_k3_s5_uniform	20.074410860872632
tree_1322_k5_s1_exp	10.107600391829468
tree_6_k3_s4_uniform	14.37024487918297
tree_12_k3_s4_exp	15.208931871245008
tree_1322_k3_s3_uniform	9.305246173751787
tree_2_k10_s4_uniform	0.0674800502659027
tree_202_k10_s2_exp	12.900771595707123
tree_10_k3_s2_uniform	20.883812367608876
tree_202_k3_s5_uniform	16.51296187915368
tree_9_k3_s3_uniform	25.91097499087544
tree_202_k3_s1_exp	11.952724656622916
tree_203_k5_s3_exp	18.487002792724653
tree_13_k3_s3_uniform	31.623766445358
tree_1_k10_s5_uniform	0.6934977554767052
tree_1_k5_s3_uniform	0.022235427290435837
tree_6_k3_s5_exp	11.637633189443436
tree_2_k5_s2_uniform	0.4353380915067789
tree_8_k10_s4_exp	3.5369349984286735
tree_14_k5_s4_uniform	13.23780265257249
tree_17_k5_s5_uniform	15.093456222565191
tree_217_k3_s5_exp	20.03208302288015
tree_14_k5_s5_exp	13.104344452335791
tree_203_k10_s3_uniform	16.02332773715261
