G000759795	G000757825	0.190183	0	93/10000
G000300455	G000757825	0.199716	1.63743e-283	76/10000
G001022135	G000757825	0.202271	1.28344e-263	72/10000
G000016325	G000757825	0.193877	0	86/10000
G000735515	G000757825	0.188686	0	96/10000
G000025565	G000757825	0.191209	0	91/10000
G000694955	G000757825	0.187713	0	98/10000
G000164865	G000757825	0.182699	0	109/10000
G000757785	G000757825	0.197292	3.21419e-298	80/10000
G000735455	G000757825	0.179364	0	117/10000
G001297765	G000757825	0.186292	0	101/10000
G001571285	G000757825	0.190693	0	92/10000
G000735365	G000757825	0.201619	5.14399e-271	73/10000
G000215745	G000757825	0.192258	0	89/10000
G000240185	G000757825	0.194988	3.08136e-314	84/10000
G000247895	G000757825	0.192258	0	89/10000
G001022195	G000757825	0.199098	8.26221e-282	77/10000
G000195995	G000757825	0.207109	1.13481e-237	65/10000
G000648515	G000757825	0.194429	2.27695e-319	85/10000
G001558935	G000757825	0.202271	1.98776e-266	72/10000
G001187865	G000757825	0.203604	5.53756e-261	70/10000
G000302695	G000757825	0.201619	4.49232e-272	73/10000
G000705335	G001654915	0.224525	4.79822e-157	45/10000
G000757825	G001654915	0.193877	0	86/10000
G001654915	G001654915	0	0	10000/10000
G000262305	G001654915	0.210897	9.42031e-220	60/10000
G000248015	G001654915	0.215885	1.71697e-194	54/10000
G000463155	G001654915	0.206387	5.36494e-244	66/10000
G000982825	G001654915	0.207842	2.24747e-234	64/10000
G000621185	G001654915	0.212502	5.64313e-210	58/10000
G000759795	G001654915	0.216771	7.94876e-191	53/10000
G000300455	G001654915	0.214163	2.02289e-201	56/10000
G001022135	G001654915	0.213325	1.07546e-202	57/10000
G000016325	G001654915	0.202933	5.61896e-263	71/10000
G000735515	G001654915	0.209345	2.59997e-225	62/10000
G000025565	G001654915	0.207109	7.12278e-236	65/10000
G000694955	G001654915	0.212502	1.13135e-209	58/10000
G000164865	G001654915	0.214163	1.20418e-201	56/10000
G000757785	G001654915	0.235108	2.64283e-122	36/10000
G000735455	G001654915	0.213325	1.49896e-205	57/10000
G001297765	G001654915	0.227796	7.71713e-147	42/10000
G001571285	G001654915	0.206387	2.24846e-241	66/10000
G000735365	G001654915	0.206387	1.06153e-241	66/10000
G000215745	G001654915	0.214163	1.6213e-200	56/10000
G000240185	G001654915	0.224525	1.68267e-156	45/10000
G000247895	G001654915	0.224525	1.83811e-156	45/10000
G001022195	G001654915	0.223483	2.97212e-158	46/10000
G000195995	G001654915	0.223483	2.30746e-161	46/10000
G000648515	G001654915	0.218593	1.64612e-180	51/10000
G001558935	G001654915	0.209345	4.61265e-225	62/10000
G001187865	G001654915	0.228939	1.06864e-143	41/10000
G000302695	G001654915	0.224525	1.60034e-158	45/10000
G000705335	G000262305	0.215885	6.226e-195	54/10000
G000757825	G000262305	0.207842	1.28875e-236	64/10000
G001654915	G000262305	0.210897	9.42031e-220	60/10000
G000262305	G000262305	0	0	10000/10000
G000248015	G000262305	0.204284	2.2805e-258	69/10000
G000463155	G000262305	0.200342	2.41192e-284	75/10000
G000982825	G000262305	0.187713	0	98/10000
G000621185	G000262305	0.199716	6.90464e-287	76/10000
G000759795	G000262305	0.201619	1.88851e-275	73/10000
G000300455	G000262305	0.201619	9.6304e-274	73/10000
G001022135	G000262305	0.202933	2.18905e-262	71/10000
G000016325	G000262305	0.210897	9.22113e-221	60/10000
G000735515	G000262305	0.204284	6.66658e-257	69/10000
G000025565	G000262305	0.208588	7.69387e-231	63/10000
G000694955	G000262305	0.203604	1.517e-261	70/10000
G000164865	G000262305	0.191731	0	90/10000
G000757785	G000262305	0.200342	1.9573e-280	75/10000
